ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781817060,node,0,0.1,0.0,50.0,50.0
1781817060,gateway,0,0.0,0.0,0.0,NA
1781817068,gateway,0,1.1,0.0,0.0,NA
1781817068,node,0,0.9,0.0,0.0,NA
1781817075,node,0,5.0,50.0,0.0,50.0
1781817075,gateway,0,4.9,0.0,0.0,50.0
1781817083,gateway,0,8.3,0.0,0.0,NA
1781817083,node,0,9.4,0.0,0.0,NA
1781817090,gateway,0,12.4,33.3,33.3,33.3
1781817090,node,0,15.1,0.0,0.0,NA
1781817098,node,0,21.8,50.0,0.0,50.0
1781817098,gateway,0,17.8,0.0,0.0,NA
1781817105,gateway,0,23.3,0.0,0.0,NA
1781817105,node,0,29.5,0.0,NA,0.0
1781817112,node,0,37.2,0.0,0.0,NA
1781817112,gateway,0,29.1,0.0,0.0,NA
1781817120,gateway,0,35.3,0.0,50.0,50.0
1781817120,node,0,46.0,0.0,0.0,NA
1781817127,gateway,0,41.4,50.0,50.0,0.0
1781817127,node,0,54.5,0.0,0.0,NA
1781817135,gateway,0,47.8,50.0,0.0,50.0
1781817135,node,0,63.3,0.0,NA,0.0
1781817142,gateway,0,54.4,0.0,50.0,50.0
1781817142,node,0,72.1,40.0,20.0,20.0
1781817149,node,0,82.2,50.0,25.0,0.0
1781817150,gateway,0,61.9,0.0,50.0,0.0
1781817157,node,0,84.1,0.0,0.0,NA
1781817157,gateway,0,78.9,0.0,80.0,0.0
1781817164,node,0,81.7,0.0,50.0,50.0
1781817165,gateway,0,96.2,25.0,50.0,25.0
1781817172,node,0,77.9,0.0,0.0,NA
1781817172,gateway,0,111,0.0,NA,0.0
1781817179,node,0,74.4,50.0,0.0,50.0
1781817180,gateway,0,126,0.0,0.0,NA
1781817187,node,0,71.1,0.0,0.0,NA
1781817187,gateway,0,138,16.7,83.3,0.0
1781817195,node,0,68.4,0.0,50.0,50.0
1781817195,gateway,0,150,0.0,NA,0.0
1781817202,node,0,66.0,0.0,0.0,NA
1781817203,gateway,0,161,0.0,NA,0.0
1781817210,node,0,64.3,0.0,0.0,NA
1781817211,gateway,0,171,0.0,NA,0.0
1781817218,gateway,0,180,0.0,NA,0.0
1781817218,node,0,62.6,0.0,50.0,50.0
1781817226,node,0,62.1,0.0,50.0,50.0
1781817226,gateway,0,189,0.0,NA,0.0
1781817233,node,0,60.5,50.0,50.0,0.0
1781817233,gateway,0,196,25.0,75.0,0.0
1781817242,node,0,58.5,0.0,0.0,NA
1781817242,gateway,0,204,0.0,85.7,0.0
1781817250,node,0,56.5,50.0,0.0,50.0
1781817250,gateway,0,211,0.0,NA,0.0
1781817258,node,0,55.0,0.0,0.0,NA
1781817258,gateway,0,218,0.0,NA,0.0
1781817266,node,0,53.4,0.0,50.0,50.0
1781817266,gateway,0,224,0.0,NA,0.0
1781817275,gateway,0,230,0.0,NA,0.0
1781817275,node,0,52.6,0.0,0.0,NA
1781817283,gateway,0,235,0.0,NA,0.0
1781817283,node,0,52.2,0.0,33.3,33.3
1781817291,node,0,51.9,100.0,0.0,0.0
1781817291,gateway,0,240,0.0,NA,0.0
1781817299,node,0,51.2,50.0,0.0,50.0
1781817300,gateway,0,245,0.0,0.0,0.0
1781817308,node,0,50.0,0.0,0.0,NA
1781817308,gateway,0,250,0.0,NA,0.0
1781817316,node,0,48.6,0.0,0.0,NA
1781817316,gateway,0,254,20.0,80.0,0.0
1781817323,node,0,47.7,0.0,0.0,NA
1781817323,gateway,0,257,0.0,NA,0.0
1781817331,gateway,0,261,0.0,NA,0.0
1781817331,node,0,46.8,0.0,50.0,50.0
1781817338,node,0,46.3,0.0,0.0,NA
1781817338,gateway,0,264,0.0,NA,0.0
1781817346,gateway,0,267,0.0,NA,0.0
1781817346,node,0,46.1,0.0,50.0,50.0
1781817354,node,0,45.9,0.0,0.0,NA
1781817354,gateway,0,270,0.0,NA,0.0
1781817362,gateway,0,273,0.0,NA,0.0
1781817362,node,0,45.7,0.0,0.0,NA
1781817369,node,0,45.0,0.0,0.0,NA
1781817370,gateway,0,276,0.0,NA,0.0
1781817377,node,0,44.1,0.0,0.0,50.0
1781817377,gateway,0,279,0.0,NA,0.0
1781817385,node,0,43.3,0.0,0.0,NA
1781817385,gateway,0,281,50.0,50.0,0.0
1781817392,node,0,42.7,0.0,0.0,NA
1781817393,gateway,0,284,0.0,NA,0.0
1781817400,node,0,42.1,0.0,0.0,NA
1781817400,gateway,0,286,0.0,88.9,0.0
1781817407,node,0,41.9,0.0,0.0,NA
1781817408,gateway,0,288,0.0,NA,0.0
1781817415,node,0,41.6,0.0,0.0,NA
1781817415,gateway,0,290,50.0,50.0,0.0
1781817422,node,0,41.5,0.0,NA,0.0
1781817423,gateway,0,292,0.0,50.0,0.0
1781817430,node,0,41.2,0.0,0.0,NA
1781817430,gateway,0,294,0.0,83.3,0.0
1781817437,node,0,40.6,0.0,50.0,50.0
1781817437,gateway,0,296,25.0,50.0,0.0
1781817445,node,0,40.0,0.0,0.0,NA
1781817445,gateway,0,298,0.0,NA,0.0
1781817453,node,0,39.5,0.0,0.0,NA
1781817453,gateway,0,299,0.0,NA,0.0
1781817460,node,0,39.1,0.0,0.0,NA
1781817460,gateway,0,301,0.0,NA,0.0
1781817468,node,0,39.1,0.0,0.0,NA
1781817468,gateway,0,303,0.0,NA,0.0
1781817476,node,0,38.7,0.0,0.0,NA
1781817476,gateway,0,300,0.0,0.0,NA
