ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781784837,node,0,0.4,0.0,0.0,NA
1781784837,gateway,0,0.1,0.0,2.6,23.7
1781784845,gateway,0,3.1,0.0,33.3,33.3
1781784845,node,0,3.6,0.0,0.0,NA
1781784852,gateway,0,18.6,33.3,0.0,66.7
1781784852,node,0,23.4,33.3,0.0,66.7
1781784859,node,0,39.3,0.0,0.0,50.0
1781784859,gateway,0,28.7,0.0,0.0,NA
1781784866,gateway,0,39.2,0.0,50.0,50.0
1781784866,node,0,56.3,25.0,25.0,25.0
1781784874,gateway,0,50.2,0.0,33.3,66.7
1781784874,node,0,72.5,100.0,0.0,0.0
1781784881,node,0,88.6,33.3,0.0,33.3
1781784881,gateway,0,61.4,50.0,0.0,50.0
1781784888,node,0,104,50.0,25.0,25.0
1781784888,gateway,0,72.5,25.0,25.0,25.0
1781784896,gateway,0,83.7,0.0,50.0,25.0
1781784896,node,0,120,50.0,25.0,25.0
1781784903,gateway,0,95.6,50.0,50.0,0.0
1781784903,node,0,138,40.0,60.0,0.0
1781784910,gateway,0,116,0.0,75.0,25.0
1781784910,node,0,159,0.0,80.0,20.0
1781784918,node,0,171,33.3,0.0,66.7
1781784918,gateway,0,138,33.3,66.7,0.0
1781784925,node,0,184,0.0,NA,0.0
1781784926,gateway,0,157,50.0,50.0,0.0
1781784933,gateway,0,173,12.5,87.5,0.0
1781784933,node,0,197,0.0,NA,0.0
1781784940,node,0,190,0.0,0.0,50.0
1781784941,gateway,0,189,16.7,83.3,0.0
1781784950,node,0,177,0.0,0.0,NA
1781784950,gateway,0,204,0.0,NA,0.0
1781784957,node,0,168,0.0,0.0,NA
1781784958,gateway,0,215,20.0,80.0,0.0
1781784966,node,0,160,0.0,33.3,66.7
1781784966,gateway,0,225,100.0,0.0,0.0
1781784973,node,0,152,40.0,20.0,40.0
1781784974,gateway,0,234,0.0,NA,0.0
1781784981,node,0,145,0.0,0.0,NA
1781784982,gateway,0,242,12.5,87.5,0.0
1781784989,node,0,140,0.0,0.0,NA
1781784989,gateway,0,249,0.0,NA,0.0
1781784996,node,0,135,0.0,0.0,NA
1781784997,gateway,0,256,0.0,NA,0.0
1781785004,node,0,130,50.0,0.0,50.0
1781785005,gateway,0,262,0.0,NA,0.0
1781785012,node,0,126,0.0,50.0,50.0
1781785013,gateway,0,267,0.0,NA,0.0
1781785020,node,0,121,50.0,0.0,50.0
1781785020,gateway,0,272,28.6,71.4,0.0
1781785027,node,0,119,0.0,33.3,66.7
1781785028,gateway,0,277,0.0,NA,0.0
1781785035,node,0,116,0.0,33.3,66.7
1781785036,gateway,0,281,0.0,NA,0.0
1781785043,node,0,112,0.0,50.0,50.0
1781785044,gateway,0,285,0.0,NA,0.0
1781785051,node,0,109,0.0,50.0,50.0
1781785052,gateway,0,289,50.0,50.0,0.0
1781785059,node,0,106,0.0,50.0,50.0
1781785059,gateway,0,293,0.0,NA,0.0
1781785066,node,0,103,0.0,0.0,NA
1781785067,gateway,0,296,25.0,62.5,0.0
1781785074,node,0,100,0.0,50.0,50.0
1781785075,gateway,0,299,20.0,80.0,0.0
1781785082,node,0,97.4,0.0,25.0,50.0
1781785083,gateway,0,302,16.7,83.3,0.0
1781785090,node,0,95.5,0.0,50.0,50.0
1781785090,gateway,0,305,0.0,NA,0.0
1781785098,node,0,94.3,0.0,0.0,NA
1781785099,gateway,0,307,0.0,NA,0.0
1781785106,node,0,91.9,0.0,0.0,NA
1781785106,gateway,0,310,85.7,14.3,0.0
1781785114,node,0,90.0,0.0,0.0,NA
1781785114,gateway,0,312,0.0,NA,0.0
1781785121,node,0,88.2,0.0,0.0,NA
1781785122,gateway,0,314,0.0,NA,0.0
1781785129,node,0,86.4,0.0,33.3,66.7
1781785129,gateway,0,316,0.0,NA,0.0
1781785137,node,0,84.4,0.0,33.3,66.7
1781785137,gateway,0,318,0.0,NA,0.0
1781785144,node,0,82.6,0.0,0.0,NA
1781785145,gateway,0,320,0.0,NA,0.0
1781785152,node,0,81.0,0.0,50.0,50.0
1781785152,gateway,0,322,0.0,NA,0.0
1781785160,node,0,79.9,0.0,0.0,NA
1781785160,gateway,0,324,25.0,75.0,0.0
1781785167,node,0,78.5,0.0,50.0,50.0
1781785167,gateway,0,325,16.7,83.3,0.0
1781785175,node,0,77.5,0.0,0.0,NA
1781785175,gateway,0,327,0.0,NA,0.0
1781785182,node,0,76.3,0.0,0.0,NA
1781785183,gateway,0,328,20.0,80.0,0.0
1781785190,node,0,74.9,0.0,0.0,NA
1781785191,gateway,0,330,16.7,83.3,0.0
1781785198,node,0,73.4,0.0,0.0,NA
1781785199,gateway,0,331,0.0,NA,0.0
1781785206,node,0,72.0,0.0,33.3,66.7
1781785206,gateway,0,332,14.3,85.7,0.0
1781785213,node,0,70.9,0.0,0.0,NA
1781785214,gateway,0,334,0.0,NA,0.0
1781785221,node,0,69.9,0.0,0.0,NA
1781785221,gateway,0,335,20.0,80.0,0.0
1781785229,node,0,69.1,0.0,0.0,NA
1781785229,gateway,0,336,0.0,NA,0.0
1781785236,node,0,68.5,50.0,0.0,50.0
1781785236,gateway,0,337,14.3,71.4,0.0
1781785244,node,0,68.2,0.0,0.0,NA
