ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781727633,node,2,0.3,0.0,50.0,50.0
1781727633,node,0,0.4,0.0,0.0,NA
1781727633,node,1,0.3,0.0,50.0,50.0
1781727634,gateway,1,NA,60.0,40.0,0.0
1781727634,gateway,0,NA,33.3,66.7,0.0
1781727634,gateway,2,NA,25.0,50.0,0.0
1781727642,node,2,0.3,0.0,0.0,NA
1781727643,node,0,0.4,0.0,NA,0.0
1781727643,node,1,0.4,0.0,50.0,50.0
1781727643,gateway,2,NA,0.0,NA,0.0
1781727643,gateway,0,NA,100.0,0.0,0.0
1781727643,gateway,1,NA,75.0,25.0,0.0
1781727651,gateway,2,NA,75.0,25.0,0.0
1781727651,node,2,2.8,0.0,0.0,NA
1781727651,gateway,0,30.5,0.0,NA,0.0
1781727651,node,0,3.8,0.0,NA,0.0
1781727651,node,1,5.8,0.0,0.0,0.0
1781727651,gateway,1,NA,50.0,50.0,0.0
1781727659,gateway,0,38.0,33.3,33.3,33.3
1781727659,node,2,8.4,33.3,33.3,33.3
1781727659,node,1,16.0,0.0,0.0,NA
1781727660,gateway,1,0.0,0.0,0.0,NA
1781727660,gateway,2,NA,100.0,0.0,0.0
1781727660,node,0,12.4,33.3,33.3,0.0
1781727668,node,1,24.6,0.0,NA,0.0
1781727668,gateway,0,45.4,0.0,0.0,NA
1781727668,gateway,1,0.4,0.0,0.0,NA
1781727668,node,2,13.8,0.0,0.0,NA
1781727668,gateway,2,NA,66.7,33.3,0.0
1781727668,node,0,20.5,50.0,50.0,0.0
1781727677,gateway,0,52.9,0.0,0.0,NA
1781727677,node,0,27.6,0.0,50.0,0.0
1781727677,gateway,1,0.3,0.0,0.0,NA
1781727677,node,2,19.0,0.0,0.0,NA
1781727677,node,1,33.0,33.3,66.7,0.0
1781727677,gateway,2,NA,100.0,0.0,0.0
1781727685,gateway,1,0.3,50.0,0.0,50.0
1781727685,node,2,23.8,100.0,0.0,0.0
1781727685,gateway,2,0.3,0.0,0.0,NA
1781727685,gateway,0,60.4,25.0,25.0,0.0
1781727685,node,1,41.1,0.0,NA,0.0
1781727685,node,0,34.6,0.0,NA,0.0
1781727693,gateway,0,65.5,50.0,50.0,0.0
1781727693,node,2,28.5,0.0,NA,0.0
1781727694,node,1,48.3,33.3,33.3,33.3
1781727694,node,0,41.3,50.0,50.0,0.0
1781727694,gateway,2,0.4,0.0,0.0,NA
1781727694,gateway,1,0.2,0.0,0.0,NA
1781727702,node,2,33.2,50.0,50.0,0.0
1781727702,gateway,2,0.3,0.0,NA,0.0
1781727702,node,1,55.2,50.0,50.0,0.0
1781727702,gateway,1,0.2,0.0,0.0,NA
1781727702,gateway,0,70.0,100.0,0.0,0.0
1781727702,node,0,48.0,0.0,0.0,NA
1781727710,gateway,2,0.4,0.0,0.0,NA
1781727710,node,1,61.2,66.7,33.3,0.0
1781727711,node,0,53.6,50.0,50.0,0.0
1781727711,gateway,0,74.0,0.0,NA,0.0
1781727711,gateway,1,0.3,0.0,NA,0.0
1781727711,node,2,37.9,0.0,0.0,NA
1781727719,node,2,42.0,50.0,50.0,0.0
1781727719,gateway,1,0.3,0.0,0.0,NA
1781727719,gateway,2,0.4,0.0,0.0,NA
1781727719,node,1,66.3,50.0,50.0,0.0
1781727719,gateway,0,77.5,50.0,50.0,0.0
