ts,role,idx,cpu_pct,cpu_us,cpu_sy,cpu_id
1781733299,node,4,0.4,0.0,66.7,33.3
1781733299,node,0,0.3,33.3,0.0,33.3
1781733300,gateway,0,NA,80.0,20.0,0.0
1781733300,node,2,0.3,0.0,33.3,33.3
1781733300,node,3,0.4,33.3,0.0,33.3
1781733300,node,1,0.3,0.0,25.0,50.0
1781733300,gateway,2,NA,100.0,0.0,0.0
1781733300,gateway,1,NA,60.0,40.0,0.0
1781733300,gateway,3,NA,80.0,20.0,0.0
1781733300,gateway,4,NA,86.4,13.6,0.0
1781733308,node,3,0.4,0.0,50.0,50.0
1781733308,gateway,1,0.0,0.0,50.0,50.0
1781733308,gateway,3,0.8,0.0,0.0,NA
1781733308,node,0,0.4,0.0,50.0,50.0
1781733308,gateway,0,NA,100.0,0.0,0.0
1781733308,node,4,0.4,0.0,0.0,NA
1781733308,node,2,0.3,0.0,0.0,NA
1781733308,gateway,2,NA,100.0,0.0,0.0
1781733308,node,1,0.5,0.0,NA,0.0
1781733308,gateway,4,0.0,0.0,NA,0.0
1781733316,node,1,0.6,0.0,0.0,NA
1781733316,gateway,3,0.4,0.0,0.0,NA
1781733316,gateway,4,0.3,100.0,0.0,0.0
1781733316,gateway,0,0.4,100.0,0.0,0.0
1781733316,gateway,2,0.0,50.0,50.0,0.0
1781733316,gateway,1,0.3,0.0,0.0,NA
1781733316,node,0,0.4,0.0,0.0,NA
1781733316,node,3,0.5,0.0,0.0,0.0
1781733317,node,4,0.5,0.0,50.0,50.0
1781733317,node,2,0.4,0.0,0.0,NA
1781733325,node,0,0.5,0.0,NA,0.0
1781733325,node,1,0.7,0.0,NA,0.0
1781733325,node,3,0.6,0.0,0.0,NA
1781733325,gateway,0,0.3,50.0,0.0,50.0
1781733325,gateway,4,0.3,0.0,0.0,NA
1781733325,node,4,0.5,0.0,50.0,50.0
1781733325,node,2,0.5,0.0,NA,0.0
1781733325,gateway,3,0.3,0.0,50.0,50.0
1781733325,gateway,2,0.2,33.3,33.3,33.3
1781733325,gateway,1,0.3,0.0,NA,0.0
1781733333,node,4,2.0,0.0,0.0,NA
1781733333,node,3,1.5,50.0,0.0,50.0
